hub,SARIMA_MAE,SARIMA_RMSE,VAR_MAE,VAR_RMSE
ERCOT_North,7.8463,11.5756,6.5726,8.1956
CAISO_SP15,9.1132,10.86,12.7992,14.5328
ISONE_Internal,19.4246,21.774,17.8612,28.7349
NYISO_HudsonValley,17.8969,28.5495,25.1185,42.5065
PJM_Western,15.6867,27.1848,21.5262,33.5086
MISO_Illinois,7.2255,11.4272,11.2349,13.707
SPP_South,6.274,8.4501,4.4148,6.1336
SERC_Southern,3.2725,4.129,4.2081,5.1229
FRCC_Florida,2.9772,3.8696,6.1641,6.9469
NW_MidColumbia,6.2417,7.0877,7.5381,8.769
SW_PaloVerde,7.3523,8.7312,7.6932,9.1558
